b3d32f16-d835-4b8d-bd21-b92b64d2fff8,Afganistán,2025/03/11 16:34:00,2025/03/11 16:34:00
792fbce3-c2c2-4ef2-ae75-f12568d8ac53,Africa del Sur,2025/03/12 16:34:00,2025/03/12 16:34:00
85c57b28-19a1-4b6e-ac21-2c0f019764ce,Albania,2025/03/13 16:34:00,2025/03/13 16:34:00
de70cdc5-b618-43bd-bb75-d5b8bf4cc74a,Alemania,2025/03/14 16:34:00,2025/03/14 16:34:00
9c483bd9-b123-4641-ab43-918d02dc0716,Andorra,2025/03/15 16:34:00,2025/03/15 16:34:00
c3800f0f-ec52-465f-a0a5-eb0796c22961,Angola,2025/03/16 16:34:00,2025/03/16 16:34:00
39e85a42-8475-4055-aee3-ba26a4c20e18,Antigua y Barbuda,2025/03/17 16:34:00,2025/03/17 16:34:00
9c979775-4840-4ae2-adc4-35ffc4e7e96b,Arabia Saudita,2025/03/18 16:34:00,2025/03/18 16:34:00
a0af8cbb-d2ff-46a7-8f3c-ad87c345f78b,Argelia,2025/03/19 16:34:00,2025/03/19 16:34:00
771febd2-85e9-4876-b941-c0ba5d4157ec,Argentina,2025/03/20 16:34:00,2025/03/20 16:34:00
2740275e-ad15-44ea-8696-05ef97b69269,Armenia,2025/03/21 16:34:00,2025/03/21 16:34:00
cfae8229-d4ce-438e-8ece-5c8c0c78d32f,Australia,2025/03/22 16:34:00,2025/03/22 16:34:00
d8e0c8dc-9d36-477a-81e7-5b87ca552dd7,Austria,2025/03/23 16:34:00,2025/03/23 16:34:00
d8c02fa4-674e-465e-8130-8d9c1d943d6a,Azerbaiján,2025/03/24 16:34:00,2025/03/24 16:34:00
08a5bcec-883b-4310-9a5f-62ce3f5a3cd4,Bahamas,2025/03/25 16:34:00,2025/03/25 16:34:00
e0e78fb7-0dd1-4990-91af-a8a9b413eec6,Bahrein,2025/03/26 16:34:00,2025/03/26 16:34:00
f2824fe0-b524-4e0a-9e6b-d677394de1d9,Bangladesh,2025/03/27 16:34:00,2025/03/27 16:34:00
